,title,Release date,Rotten Tomatoes,Internet Movie Database,Metacritic
252,Max Keeble's Big Move,2001-10-05,29,5.4,40
253,"Monsters, Inc.",,0,0,0
254,Mickey's Magical Christmas: Snowed in at the House of Mouse,2001-11-06,0,6.7,0
255,Snow Dogs,2002-01-18,25,5.2,29
256,Return to Never Land,,0,0,0
257,Cinderella II: Dreams Come True,2002-02-26,0,0,0
258,The Hunchback of Notre Dame II,2002-03-19,0,0,0
259,The Rookie,2002-03-29,84,6.9,72
260,Lilo & Stitch,,0,0,0
261,The Country Bears,,0,0,0
262,Spirited Away,,0,0,0
263,Tuck Everlasting,2002-10-11,60,6.6,66
264,The Santa Clause 2,2002-11-01,56,5.7,48
265,Treasure Planet,2002-11-27,69,7.1,60
266,101 Dalmatians II:,2003-01-21,0,0,0
267,The Jungle Book 2,2003-02-14,0,0,0
268,Inspector Gadget 2,2003-03-11,40,3.5,0
269,Piglet's Big Movie,,0,0,0
270,Ghosts of the Abyss,,0,0,0
271,Holes,2003-04-18,78,7.0,71
272,The Lizzie McGuire Movie,2003-05-02,40,5.5,56
273,Finding Nemo,2003-05-30,99,8.1,90
274,Pirates of the Caribbean: The Curse of the Black Pearl,,0,0,0
275,Freaky Friday,,0,0,0
276,Stitch! The Movie,2003-08-26,20,6.2,0
277,George of the Jungle 2,2003-10-21,17,3.4,0
278,Brother Bear,2003-11-01,37,6.8,48
279,The Haunted Mansion,2003-11-26,13,5.0,34
280,The Young Black Stallion,2003-12-25,45,5.4,51
281,Teacher's Pet,2004-01-16,76,5.8,74
282,Miracle,2004-02-20,81,7.5,68
283,The Lion King 1½,2004-02-10,0,0,0
284,Confessions of a Teenage Drama Queen,2004-02-17,14,4.6,33
285,Winnie the Pooh: Springtime with Roo,2004-03-09,0,0,0
286,Home on the Range,2004-04-02,53,5.4,50
287,Sacred Planet,2004-04-22,58,6.0,53
288,Around the World in 80 Days,2004-06-16,32,5.8,49
289,America's Heart and Soul,2004-07-02,0,0,0
290,The Princess Diaries 2: Royal Engagement,2004-08-11,26,5.8,43
291,"Mickey, Donald, Goofy: The Three Musketeers",2004-08-17,36,6.4,0
292,The Incredibles,,0,0,0
293,Mickey's Twice Upon a Christmas,2004-11-09,0,6.5,0
294,National Treasure,2004-11-19,46,6.9,39
295,Aliens of the Deep,2005-01-28,84,6.4,71
296,Mulan II,,0,0,0
297,Pooh's Heffalump Movie,2005-02-11,80,6.4,64
298,The Pacifier,2005-03-04,21,5.6,30
299,Ice Princess,2005-03-18,52,6.0,55
300,Tarzan II,2005-06-14,0,0,0
301,Herbie: Fully Loaded,,0,0,0
302,Howl's Moving Castle,,0,0,0
303,Sky High,2005-07-29,73,6.3,62
304,Valiant,,0,0,0
305,Lilo & Stitch 2: Stitch Has a Glitch,2005-08-30,40,6.3,0
306,Pooh's Heffalump Halloween Movie,2005-09-13,0,6.6,0
307,The Greatest Game Ever Played,2005-09-30,63,7.4,55
308,Chicken Little,,0,0,0
309,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",,0,0,0
310,Kronk's New Groove,,0,0,0
311,Glory Road,,0,0,0
312,Roving Mars,2006-01-27,71,7.2,58
313,Bambi II,,0,0,0
314,Eight Below,2006-02-17,73,7.3,64
315,The Shaggy Dog,2006-03-10,26,4.4,43
316,The Wild,2006-04-14,0,5.2,47
317,Cars,,0,0,0
318,Leroy & Stitch,,0,0,0
319,Pirates of the Caribbean: Dead Man's Chest,,0,0,0
320,Invincible,2006-08-25,72,7.0,63
321,Brother Bear 2,2006-08-29,50,6.2,0
322,The Nightmare Before Christmas,,0,0,0
323,The Santa Clause 3: The Escape Clause,2006-11-03,17,4.7,32
324,The Fox and the Hound 2,2006-12-12,20,5.3,0
325,Cinderella III: A Twist in Time,2007-02-06,0,0,0
326,Bridge to Terabithia,2007-02-16,85,7.2,74
327,Meet the Robinsons,,0,0,0
328,Pirates of the Caribbean: At World's End,,0,0,0
329,Ratatouille,,0,0,0
330,The Secret of the Magic Gourd,,0,0,0
331,Underdog,2007-08-03,16,4.7,37
332,The Pixar Story,2007-08-28,86,7.7,0
333,The Game Plan,,0,0,0
334,Enchanted,,0,0,0
335,National Treasure: Book of Secrets,2007-12-21,36,6.5,48
336,Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,,0,0,0
337,College Road Trip,2008-03-07,12,4.3,36
338,The Chronicles of Narnia: Prince Caspian,,0,0,0
339,WALL-E,,0,0,0
340,The Little Mermaid 3: Ariel's Beginning,2008-08-26,0,0,0
341,Beverly Hills Chihuahua,2008-10-03,40,3.9,41
342,Morning Light,,0,0,0
343,High School Musical 3: Senior Year,,0,0,0
344,Roadside Romeo,,0,0,0
345,Tinker Bell,2008-10-28,90,6.8,0
346,Bolt,2008-11-21,89,6.9,67
347,Bedtime Stories,2008-12-25,27,6.0,33
348,Jonas Brothers: The 3D Concert Experience,2009-02-27,23,1.7,45
349,Race to Witch Mountain,,0,0,0
350,Hannah Montana: The Movie,2009-04-10,43,4.5,47
351,Earth,,0,0,0
352,The Boys: The Sherman Brothers' Story,,0,0,0
353,Up,,0,0,0
355,G-Force,2009-07-24,22,5.1,41
356,Ponyo,2008-07-19,91,7.6,86
357,Walt & El Grupo,,0,0,0
358,Tinker Bell and the Lost Treasure,,0,0,0
359,Книга Мастеров,2009-10-29,0,0,0
360,A Christmas Carol,,0,0,0
361,Old Dogs,2009-11-25,5,5.3,19
362,The Princess and the Frog,,0,0,0
363,Alice in Wonderland,,0,0,0
364,Oceans,,0,0,0
365,Prince of Persia: The Sands of Time,,0,0,0
366,Toy Story 3,,0,0,0
367,The Sorcerer's Apprentice,,0,0,0
368,Tales from Earthsea,2006-07-29,0,6.4,47
369,The Crimson Wing: Mystery of the Flamingos,,0,0,0
370,Tinker Bell and the Great Fairy Rescue,,0,0,0
371,Secretariat,,0,0,0
372,Do Dooni Chaar,,0,0,0
373,Tangled,,0,0,0
374,Tron: Legacy,,0,0,0
376,Beverly Hills Chihuahua 2,2011-02-01,0,4.2,0
377,Lilly the Witch: The Journey to Mandolan,,0,0,0
378,Mars Needs Moms,,0,0,0
379,Zokkomon,,0,0,0
380,African Cats,,0,0,0
381,Prom,2011-04-29,35,5.4,50
382,Pirates of the Caribbean: On Stranger Tides,,0,0,0
383,Cars 2,,0,0,0
384,Winnie the Pooh,,0,0,0
385,Spooky Buddies,2011-09-20,0,4.6,0
386,The Muppets,,0,0,0
387,Treasure Buddies,2012-01-31,0,4.5,0
388,Arrietty,,0,0,0
389,John Carter,,0,0,0
390,Chimpanzee,,0,0,0
391,Arjun: The Warrior Prince,,0,0,0
392,Brave,,0,0,0
393,The Odd Life of Timothy Green,2012-08-15,36,6.6,47
394,Beverly Hills Chihuahua 3: Viva la Fiesta!,2012-09-18,0,4.4,0
